"Author","Year","Accession","Replicate","Quantitation","Species","File","Time"
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F31.RAW",124.9769
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F32.RAW",124.9767
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F33.RAW",124.9824
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F34.RAW",124.9838
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F35.RAW",124.977
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F36.RAW",124.9928
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F37.RAW",125.0077
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F38.RAW",124.9824
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F39.RAW",124.9885
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F40.RAW",124.9933
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F41.RAW",124.9821
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F42.RAW",124.9801
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F43.RAW",125.007
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F44.RAW",124.9888
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F45.RAW",124.9781
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F46.RAW",124.9944
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F47.RAW",124.9817
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F48.RAW",124.9749
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F49.RAW",124.9903
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F50.RAW",124.9922
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F51.RAW",124.9843
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F1.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F10.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F13.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F14.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F15.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F16.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F17.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F18.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F19.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F2.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F20.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F23.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F3.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F4.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F5.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F6.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F7.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F8.wiff",120
"Aryal",2017,"MSV000081206","Bio1","Intensity","Arabidopsis thaliana","20130906_Uma_SEC1-1_F9.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F1.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F10.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F11.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F12.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F13.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F14.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F15.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F16.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F17.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F18.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F19.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F2.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F20.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F21.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F22.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F23.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F3.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F4.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F5.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F6.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F7.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F8.wiff",120
"Aryal",2017,"MSV000081206","Bio2","Intensity","Arabidopsis thaliana","20130927_Uma_sec2-2_F9.wiff",120
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F15.raw",120.0025
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F16.raw",120.0003
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F17.raw",119.9991
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F18.raw",120.0028
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F19.raw",120.0034
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F20.raw",120.0041
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F21.raw",120.0008
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F22.raw",119.9998
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F23.raw",119.9978
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F24.raw",120.0017
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F25.raw",120.0004
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F26.raw",119.9997
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F27.raw",120.0021
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F28.raw",119.9979
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F29.raw",120.001
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F30.raw",120.0016
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F31.raw",119.9997
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F32.raw",119.9997
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F33.raw",120.003
"Aryal",2018,"MSV000082916","B1","LFQ","Cyanothece ATCC 51142","B1_F34.raw",120.0015
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F15.raw",119.9985
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F16.raw",120.003
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F17.raw",119.9986
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F18.raw",120.0013
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F19.raw",120.0027
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F20.raw",120.0028
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F21.raw",120.0018
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F22.raw",120.002
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F23.raw",120.003
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F24.raw",119.9988
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F25.raw",119.9982
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F26.raw",120.0044
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F27.raw",119.9958
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F28.raw",120.0016
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F29.raw",119.9997
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F30.raw",120.0008
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F31.raw",120.0009
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F32.raw",120.0025
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F33.raw",120.0037
"Aryal",2018,"MSV000082916","B2","LFQ","Cyanothece ATCC 51142","B2_F34.raw",120.0004
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_2F5_A.raw",120.0042
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F15_A.raw",119.9996
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F16_A.raw",120.0034
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F17_A.raw",120.0049
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F18_A.raw",119.9994
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F19_A.raw",119.9993
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F20_A.raw",120.0022
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F21_A.raw",120.0006
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F22_A.raw",120.0027
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F23_A.raw",120.0013
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F24_A.raw",120.0021
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F26_A.raw",120.0048
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F27_A.raw",120.0035
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F28_A.raw",120.0031
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F29_A.raw",120.0002
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F30_A.raw",119.9999
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F31_A.raw",120.0033
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F32_A.raw",120.004
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F33_A.raw",120.0013
"Connelly",2018,"MSV000081520","Bio1","Intensity","Homo sapiens","Bio1_F34_A.raw",120.0038
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F15_A.raw",120.0019
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F16_A.raw",119.9983
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F17_A.raw",120.0032
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F18_A.raw",120.0019
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F19_A.raw",120.0015
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F20_A.raw",119.9992
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F21_A.raw",120.0024
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F22_A.raw",119.9974
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F23_A.raw",120.0026
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F24_A.raw",119.999
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F25_A.raw",120.0003
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F26_A.raw",119.9996
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F27_A.raw",120.0023
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F28_A.raw",120.0012
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F29_A.raw",120.0014
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F30_A.raw",120.0022
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F31_A.raw",120.0027
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F32_A.raw",120.0018
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F33_A.raw",120.0023
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F34_A.raw",120.0035
"Connelly",2018,"MSV000081520","Bio2","Intensity","Homo sapiens","Bio2_F35_A.raw",120.0025
"Crozier",2017,"PXD005968","SEC1000_E3020","LFQ","Trypanosoma brucei","PT4651-1.raw",140.0005
"Crozier",2017,"PXD005968","SEC1000_E3020","LFQ","Trypanosoma brucei","PT4651-10.raw",139.9972
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-100.raw",139.9976
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-101.raw",139.9948
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-102.raw",139.9994
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-103.raw",140
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-104.raw",139.9972
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-105.raw",139.9994
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-106.raw",140.0045
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-107.raw",139.9984
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-108.raw",139.9962
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-109.raw",139.9999
"Crozier",2017,"PXD005968","SEC1000_E3020","LFQ","Trypanosoma brucei","PT4651-11.raw",139.9991
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-110.raw",139.9969
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-111.raw",107.4319
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-112.raw",139.9989
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-113.raw",140.001
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-114.raw",139.9977
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-115.raw",139.9988
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-116.raw",139.9973
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-117.raw",139.9988
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-118.raw",140.0008
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-119.raw",139.9977
"Crozier",2017,"PXD005968","SEC1000_E3020","LFQ","Trypanosoma brucei","PT4651-12.raw",139.9977
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-120.raw",139.9976
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-121.raw",139.9999
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-122.raw",140.0007
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-123.raw",139.9997
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-124.raw",139.998
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-125.raw",139.9971
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-126.raw",139.9994
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-127.raw",139.9988
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-128.raw",139.9978
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-129.raw",139.9987
"Crozier",2017,"PXD005968","SEC1000_E3020","LFQ","Trypanosoma brucei","PT4651-13.raw",139.9977
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-130.raw",139.9969
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-131.raw",139.9977
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-132.raw",140.0001
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-133.raw",140.0001
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-134.raw",139.9989
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-135.raw",140.0004
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-136.raw",139.9996
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-137.raw",139.9969
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-138.raw",139.9996
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-139.raw",140.0017
"Crozier",2017,"PXD005968","SEC1000_E3020","LFQ","Trypanosoma brucei","PT4651-14.raw",139.9949
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-140.raw",139.9995
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-141.raw",139.9999
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-142.raw",140.0002
"Crozier",2017,"PXD005968","SEC1000_E3024","LFQ","Trypanosoma brucei","PT4651-143.raw",140.0001
